datetime,open,high,low,close,volume
2024-01-01 09:15:00,48203.4,48282.4,48152.3,48160.6,0
2024-01-01 09:16:00,48165.1,48180.1,48134.9,48135.9,0
2024-01-01 09:17:00,48146.6,48185.2,48143.6,48179.9,0
2024-01-01 09:18:00,48179.9,48191.6,48156.4,48162.4,0
2024-01-01 09:19:00,48172.4,48184.5,48145.7,48152.9,0
2024-01-01 09:20:00,48157.4,48175.3,48144.8,48155.3,0
2024-01-01 09:21:00,48157.2,48169.4,48141.7,48167.1,0
2024-01-01 09:22:00,48167.3,48180.4,48158.2,48158.8,0
2024-01-01 09:23:00,48160.3,48177.1,48155.3,48161.9,0
2024-01-01 09:24:00,48169.2,48192.4,48166.1,48185.8,0
2024-01-01 09:25:00,48185.7,48198.1,48178.2,48193.3,0
2024-01-01 09:26:00,48192.1,48200.6,48176.9,48189.4,0
2024-01-01 09:27:00,48188.9,48191.4,48177.9,48189.6,0
2024-01-01 09:28:00,48184.1,48194.8,48176.8,48187.2,0
2024-01-01 09:29:00,48187.0,48195.2,48181.7,48184.2,0
2024-01-01 09:30:00,48183.4,48194.5,48172.3,48182.8,0
2024-01-01 09:31:00,48187.8,48192.0,48166.8,48177.8,0
2024-01-01 09:32:00,48180.6,48189.2,48175.3,48189.2,0
2024-01-01 09:33:00,48186.5,48216.6,48186.4,48213.4,0
2024-01-01 09:34:00,48216.1,48230.8,48216.1,48226.2,0
2024-01-01 09:35:00,48227.4,48243.0,48222.9,48232.5,0
2024-01-01 09:36:00,48233.9,48252.9,48224.9,48250.8,0
2024-01-01 09:37:00,48248.9,48262.9,48235.8,48247.4,0
2024-01-01 09:38:00,48249.4,48250.9,48229.4,48236.6,0
2024-01-01 09:39:00,48230.3,48237.4,48204.9,48204.9,0
2024-01-01 09:40:00,48201.9,48212.6,48189.2,48200.6,0
2024-01-01 09:41:00,48201.1,48210.9,48192.6,48196.6,0
2024-01-01 09:42:00,48200.9,48224.6,48198.1,48211.2,0
2024-01-01 09:43:00,48216.1,48221.6,48203.1,48211.6,0
2024-01-01 09:44:00,48210.4,48211.8,48197.6,48207.6,0
2024-01-01 09:45:00,48208.6,48211.9,48195.9,48199.7,0
2024-01-01 09:46:00,48191.6,48218.3,48184.9,48215.8,0
2024-01-01 09:47:00,48216.8,48216.8,48202.1,48208.8,0
2024-01-01 09:48:00,48206.5,48225.6,48206.5,48219.3,0
2024-01-01 09:49:00,48219.8,48234.1,48210.1,48229.4,0
2024-01-01 09:50:00,48227.6,48247.6,48221.3,48246.0,0
2024-01-01 09:51:00,48241.6,48246.4,48225.5,48230.2,0
2024-01-01 09:52:00,48226.4,48254.6,48225.1,48245.9,0
2024-01-01 09:53:00,48251.7,48286.7,48245.6,48281.9,0
